Território;Nome do território;Ano;Cobertura do SIM
BR;Brasil;2000;84.5
BR;Brasil;2001;85.7
BR;Brasil;2002;87.1
BR;Brasil;2003;88
BR;Brasil;2004;90.2
BR;Brasil;2005;88.7
BR;Brasil;2006;91
BR;Brasil;2007;91.3
BR;Brasil;2008;92.5
BR;Brasil;2009;93
BR;Brasil;2010;94.4
BR;Brasil;2011;95.7
BR;Brasil;2012;95.3
BR;Brasil;2013;96.5
BR;Brasil;2014;96.2
BR;Brasil;2015;97.7
BR;Brasil;2016;98.3
BR;Brasil;2017;98.6
BR;Brasil;2018;98.5
BR;Brasil;2019;98.6
BR;Brasil;2020;98.6
BR;Brasil;2021;99
BR;Brasil;2022;98.9
BR;Brasil;2023;98.9
AC;Acre;2000;78.2
AC;Acre;2001;78.5
AC;Acre;2002;77.7
AC;Acre;2003;79.9
AC;Acre;2004;81.7
AC;Acre;2005;83.5
AC;Acre;2006;84.8
AC;Acre;2007;83.7
AC;Acre;2008;86.5
AC;Acre;2009;85.2
AC;Acre;2010;89.6
AC;Acre;2011;92.3
AC;Acre;2012;93.8
AC;Acre;2013;93
AC;Acre;2014;95.6
AC;Acre;2015;95.2
AC;Acre;2016;96.9
AC;Acre;2017;95.9
AC;Acre;2018;97.1
AC;Acre;2019;97.2
AC;Acre;2020;97.3
AC;Acre;2021;98
AC;Acre;2022;96.9
AC;Acre;2023;96.1
AL;Alagoas;2000;72
AL;Alagoas;2001;75.8
AL;Alagoas;2002;80.1
AL;Alagoas;2003;78.7
AL;Alagoas;2004;85.2
AL;Alagoas;2005;82.2
AL;Alagoas;2006;83.3
AL;Alagoas;2007;88.1
AL;Alagoas;2008;86.1
AL;Alagoas;2009;88.5
AL;Alagoas;2010;88.8
AL;Alagoas;2011;92.3
AL;Alagoas;2012;90.4
AL;Alagoas;2013;94.2
AL;Alagoas;2014;92.6
AL;Alagoas;2015;94.7
AL;Alagoas;2016;95.7
AL;Alagoas;2017;96.9
AL;Alagoas;2018;97
AL;Alagoas;2019;97
AL;Alagoas;2020;97.5
AL;Alagoas;2021;97.9
AL;Alagoas;2022;97.1
AL;Alagoas;2023;97.5
AM;Amazonas;2000;64.7
AM;Amazonas;2001;64.8
AM;Amazonas;2002;66.9
AM;Amazonas;2003;67.8
AM;Amazonas;2004;71.4
AM;Amazonas;2005;72.9
AM;Amazonas;2006;76.2
AM;Amazonas;2007;77.2
AM;Amazonas;2008;82.3
AM;Amazonas;2009;82.7
AM;Amazonas;2010;86
AM;Amazonas;2011;89.2
AM;Amazonas;2012;90.9
AM;Amazonas;2013;91.2
AM;Amazonas;2014;94.7
AM;Amazonas;2015;95.8
AM;Amazonas;2016;96.9
AM;Amazonas;2017;97.9
AM;Amazonas;2018;98.1
AM;Amazonas;2019;98.2
AM;Amazonas;2020;98.2
AM;Amazonas;2021;98.9
AM;Amazonas;2022;98.7
AM;Amazonas;2023;99.2
AP;Amapá;2000;61.6
AP;Amapá;2001;68.9
AP;Amapá;2002;69.8
AP;Amapá;2003;69.4
AP;Amapá;2004;74.2
AP;Amapá;2005;70.3
AP;Amapá;2006;72.3
AP;Amapá;2007;73.6
AP;Amapá;2008;79.7
AP;Amapá;2009;79.7
AP;Amapá;2010;79.2
AP;Amapá;2011;86.5
AP;Amapá;2012;85.6
AP;Amapá;2013;85.7
AP;Amapá;2014;89.3
AP;Amapá;2015;90.7
AP;Amapá;2016;91.6
AP;Amapá;2017;94.2
AP;Amapá;2018;93.4
AP;Amapá;2019;94
AP;Amapá;2020;94.9
AP;Amapá;2021;96.6
AP;Amapá;2022;95.6
AP;Amapá;2023;97.8
BA;Bahia;2000;67.4
BA;Bahia;2001;69.6
BA;Bahia;2002;72.8
BA;Bahia;2003;73.8
BA;Bahia;2004;75.9
BA;Bahia;2005;76.3
BA;Bahia;2006;80.3
BA;Bahia;2007;79.7
BA;Bahia;2008;82.9
BA;Bahia;2009;84.2
BA;Bahia;2010;85.8
BA;Bahia;2011;87.2
BA;Bahia;2012;89.3
BA;Bahia;2013;89.7
BA;Bahia;2014;90.9
BA;Bahia;2015;94.3
BA;Bahia;2016;95.3
BA;Bahia;2017;96.8
BA;Bahia;2018;96.9
BA;Bahia;2019;97.7
BA;Bahia;2020;98.3
BA;Bahia;2021;98.9
BA;Bahia;2022;98.9
BA;Bahia;2023;98.6
CE;Ceará;2000;67.6
CE;Ceará;2001;71.6
CE;Ceará;2002;75.9
CE;Ceará;2003;78.1
CE;Ceará;2004;80.5
CE;Ceará;2005;80.2
CE;Ceará;2006;83.9
CE;Ceará;2007;83.2
CE;Ceará;2008;88.5
CE;Ceará;2009;89.5
CE;Ceará;2010;86.8
CE;Ceará;2011;92.8
CE;Ceará;2012;91.5
CE;Ceará;2013;94.9
CE;Ceará;2014;93.3
CE;Ceará;2015;95.9
CE;Ceará;2016;96.2
CE;Ceará;2017;96.8
CE;Ceará;2018;96.8
CE;Ceará;2019;96.9
CE;Ceará;2020;97.1
CE;Ceará;2021;97.7
CE;Ceará;2022;98
CE;Ceará;2023;98.4
DF;Distrito Federal;2000;97.5
DF;Distrito Federal;2001;97.2
DF;Distrito Federal;2002;99.5
DF;Distrito Federal;2003;96.9
DF;Distrito Federal;2004;100.8
DF;Distrito Federal;2005;97.8
DF;Distrito Federal;2006;97.8
DF;Distrito Federal;2007;98.6
DF;Distrito Federal;2008;99.4
DF;Distrito Federal;2009;98.1
DF;Distrito Federal;2010;98.8
