Território;Nome do território;Sexo;Ano;Faixa etária;Óbitos
BR;Brasil;Ambos;2000;<1;68202
BR;Brasil;Ambos;2000;1-4;11271
BR;Brasil;Ambos;2000;5-9;5364
BR;Brasil;Ambos;2000;10-14;6295
BR;Brasil;Ambos;2000;15-19;19263
BR;Brasil;Ambos;2000;20-24;26627
BR;Brasil;Ambos;2000;25-29;25411
BR;Brasil;Ambos;2000;30-34;28166
BR;Brasil;Ambos;2000;35-39;33585
BR;Brasil;Ambos;2000;40-44;39864
BR;Brasil;Ambos;2000;45-49;45892
BR;Brasil;Ambos;2000;50-54;52300
BR;Brasil;Ambos;2000;55-59;58096
BR;Brasil;Ambos;2000;60-64;72052
BR;Brasil;Ambos;2000;65-69;81661
BR;Brasil;Ambos;2000;70-74;93356
BR;Brasil;Ambos;2000;75-79;90950
BR;Brasil;Ambos;2000;80+;183965
BR;Brasil;Ambos;2001;<1;61973
BR;Brasil;Ambos;2001;1-4;10930
BR;Brasil;Ambos;2001;5-9;5195
BR;Brasil;Ambos;2001;10-14;6211
BR;Brasil;Ambos;2001;15-19;19508
BR;Brasil;Ambos;2001;20-24;26346
BR;Brasil;Ambos;2001;25-29;25808
BR;Brasil;Ambos;2001;30-34;28541
BR;Brasil;Ambos;2001;35-39;33419
BR;Brasil;Ambos;2001;40-44;39835
BR;Brasil;Ambos;2001;45-49;47212
BR;Brasil;Ambos;2001;50-54;53910
BR;Brasil;Ambos;2001;55-59;59498
BR;Brasil;Ambos;2001;60-64;72126
BR;Brasil;Ambos;2001;65-69;82760
BR;Brasil;Ambos;2001;70-74;96051
BR;Brasil;Ambos;2001;75-79;94169
BR;Brasil;Ambos;2001;80+;193719
BR;Brasil;Ambos;2002;<1;58956
BR;Brasil;Ambos;2002;1-4;10177
BR;Brasil;Ambos;2002;5-9;5323
BR;Brasil;Ambos;2002;10-14;6218
BR;Brasil;Ambos;2002;15-19;19987
BR;Brasil;Ambos;2002;20-24;28161
BR;Brasil;Ambos;2002;25-29;26565
BR;Brasil;Ambos;2002;30-34;28139
BR;Brasil;Ambos;2002;35-39;33525
BR;Brasil;Ambos;2002;40-44;39918
BR;Brasil;Ambos;2002;45-49;47972
BR;Brasil;Ambos;2002;50-54;54627
BR;Brasil;Ambos;2002;55-59;60776
BR;Brasil;Ambos;2002;60-64;71946
BR;Brasil;Ambos;2002;65-69;84546
BR;Brasil;Ambos;2002;70-74;96898
BR;Brasil;Ambos;2002;75-79;99466
BR;Brasil;Ambos;2002;80+;204931
BR;Brasil;Ambos;2003;<1;57542
BR;Brasil;Ambos;2003;1-4;10306
BR;Brasil;Ambos;2003;5-9;5207
BR;Brasil;Ambos;2003;10-14;5946
BR;Brasil;Ambos;2003;15-19;19517
BR;Brasil;Ambos;2003;20-24;28121
BR;Brasil;Ambos;2003;25-29;26695
BR;Brasil;Ambos;2003;30-34;27564
BR;Brasil;Ambos;2003;35-39;32972
BR;Brasil;Ambos;2003;40-44;40209
BR;Brasil;Ambos;2003;45-49;48837
BR;Brasil;Ambos;2003;50-54;55258
BR;Brasil;Ambos;2003;55-59;62604
BR;Brasil;Ambos;2003;60-64;73425
BR;Brasil;Ambos;2003;65-69;86049
BR;Brasil;Ambos;2003;70-74;99131
BR;Brasil;Ambos;2003;75-79;103190
BR;Brasil;Ambos;2003;80+;215335
BR;Brasil;Ambos;2004;<1;54183
BR;Brasil;Ambos;2004;1-4;9468
BR;Brasil;Ambos;2004;5-9;5021
BR;Brasil;Ambos;2004;10-14;5884
BR;Brasil;Ambos;2004;15-19;19137
BR;Brasil;Ambos;2004;20-24;27675
BR;Brasil;Ambos;2004;25-29;26470
BR;Brasil;Ambos;2004;30-34;27357
BR;Brasil;Ambos;2004;35-39;33052
BR;Brasil;Ambos;2004;40-44;40916
BR;Brasil;Ambos;2004;45-49;49863
BR;Brasil;Ambos;2004;50-54;58251
BR;Brasil;Ambos;2004;55-59;64836
BR;Brasil;Ambos;2004;60-64;75092
BR;Brasil;Ambos;2004;65-69;89440
BR;Brasil;Ambos;2004;70-74;100678
BR;Brasil;Ambos;2004;75-79;107483
BR;Brasil;Ambos;2004;80+;225414
BR;Brasil;Ambos;2005;<1;51544
BR;Brasil;Ambos;2005;1-4;8703
BR;Brasil;Ambos;2005;5-9;4793
BR;Brasil;Ambos;2005;10-14;5830
BR;Brasil;Ambos;2005;15-19;18934
BR;Brasil;Ambos;2005;20-24;26402
BR;Brasil;Ambos;2005;25-29;26417
BR;Brasil;Ambos;2005;30-34;26729
BR;Brasil;Ambos;2005;35-39;31863
BR;Brasil;Ambos;2005;40-44;39814
BR;Brasil;Ambos;2005;45-49;49621
BR;Brasil;Ambos;2005;50-54;58009
BR;Brasil;Ambos;2005;55-59;64676
BR;Brasil;Ambos;2005;60-64;72088
BR;Brasil;Ambos;2005;65-69;88571
BR;Brasil;Ambos;2005;70-74;97672
BR;Brasil;Ambos;2005;75-79;106234
BR;Brasil;Ambos;2005;80+;225450
BR;Brasil;Ambos;2006;<1;48332
BR;Brasil;Ambos;2006;1-4;8523
BR;Brasil;Ambos;2006;5-9;4917
BR;Brasil;Ambos;2006;10-14;5838
BR;Brasil;Ambos;2006;15-19;18902
BR;Brasil;Ambos;2006;20-24;26789
BR;Brasil;Ambos;2006;25-29;26708
BR;Brasil;Ambos;2006;30-34;26820
BR;Brasil;Ambos;2006;35-39;31626
BR;Brasil;Ambos;2006;40-44;40156
BR;Brasil;Ambos;2006;45-49;49797
BR;Brasil;Ambos;2006;50-54;59263
BR;Brasil;Ambos;2006;55-59;67302
BR;Brasil;Ambos;2006;60-64;74286
BR;Brasil;Ambos;2006;65-69;89446
BR;Brasil;Ambos;2006;70-74;100391
BR;Brasil;Ambos;2006;75-79;110674
BR;Brasil;Ambos;2006;80+;238120
BR;Brasil;Ambos;2007;<1;45370
BR;Brasil;Ambos;2007;1-4;7882
BR;Brasil;Ambos;2007;5-9;4653
BR;Brasil;Ambos;2007;10-14;5711
BR;Brasil;Ambos;2007;15-19;18742
BR;Brasil;Ambos;2007;20-24;26768
BR;Brasil;Ambos;2007;25-29;27578
BR;Brasil;Ambos;2007;30-34;27557
BR;Brasil;Ambos;2007;35-39;31427
BR;Brasil;Ambos;2007;40-44;40264
BR;Brasil;Ambos;2007;45-49;50208
BR;Brasil;Ambos;2007;50-54;60358
BR;Brasil;Ambos;2007;55-59;69063
BR;Brasil;Ambos;2007;60-64;76660
BR;Brasil;Ambos;2007;65-69;89544
BR;Brasil;Ambos;2007;70-74;101826
BR;Brasil;Ambos;2007;75-79;111912
BR;Brasil;Ambos;2007;80+;248546
BR;Brasil;Ambos;2008;<1;44100
BR;Brasil;Ambos;2008;1-4;7616
BR;Brasil;Ambos;2008;5-9;4664
BR;Brasil;Ambos;2008;10-14;5783
BR;Brasil;Ambos;2008;15-19;18881
BR;Brasil;Ambos;2008;20-24;27273
BR;Brasil;Ambos;2008;25-29;28245
BR;Brasil;Ambos;2008;30-34;27933
BR;Brasil;Ambos;2008;35-39;31787
BR;Brasil;Ambos;2008;40-44;41286
BR;Brasil;Ambos;2008;45-49;51460
BR;Brasil;Ambos;2008;50-54;63147
BR;Brasil;Ambos;2008;55-59;71074
BR;Brasil;Ambos;2008;60-64;80242
BR;Brasil;Ambos;2008;65-69;92110
BR;Brasil;Ambos;2008;70-74;104523
BR;Brasil;Ambos;2008;75-79;113350
BR;Brasil;Ambos;2008;80+;259487
BR;Brasil;Ambos;2009;<1;42661
BR;Brasil;Ambos;2009;1-4;7391
BR;Brasil;Ambos;2009;5-9;4440
BR;Brasil;Ambos;2009;10-14;5758
BR;Brasil;Ambos;2009;15-19;18685
BR;Brasil;Ambos;2009;20-24;28244
BR;Brasil;Ambos;2009;25-29;28963
BR;Brasil;Ambos;2009;30-34;29132
BR;Brasil;Ambos;2009;35-39;32307
BR;Brasil;Ambos;2009;40-44;41212
BR;Brasil;Ambos;2009;45-49;51989
BR;Brasil;Ambos;2009;50-54;64387
BR;Brasil;Ambos;2009;55-59;73458
BR;Brasil;Ambos;2009;60-64;80970
BR;Brasil;Ambos;2009;65-69;92866
BR;Brasil;Ambos;2009;70-74;108253
BR;Brasil;Ambos;2009;75-79;115313
BR;Brasil;Ambos;2009;80+;273044
BR;Brasil;Ambos;2010;<1;39874
BR;Brasil;Ambos;2010;1-4;7007
BR;Brasil;Ambos;2010;5-9;4160
BR;Brasil;Ambos;2010;10-14;5721
BR;Brasil;Ambos;2010;15-19;18950
BR;Brasil;Ambos;2010;20-24;27834
BR;Brasil;Ambos;2010;25-29;28769
BR;Brasil;Ambos;2010;30-34;29916
BR;Brasil;Ambos;2010;35-39;32089
BR;Brasil;Ambos;2010;40-44;40549
BR;Brasil;Ambos;2010;45-49;52849
BR;Brasil;Ambos;2010;50-54;65460
BR;Brasil;Ambos;2010;55-59;76216
BR;Brasil;Ambos;2010;60-64;85398
BR;Brasil;Ambos;2010;65-69;95083
BR;Brasil;Ambos;2010;70-74;112350
BR;Brasil;Ambos;2010;75-79;118543
BR;Brasil;Ambos;2010;80+;292216
BR;Brasil;Ambos;2011;<1;39716
BR;Brasil;Ambos;2011;1-4;6659
BR;Brasil;Ambos;2011;5-9;4118
BR;Brasil;Ambos;2011;10-14;5538
BR;Brasil;Ambos;2011;15-19;19736
BR;Brasil;Ambos;2011;20-24;27184
BR;Brasil;Ambos;2011;25-29;28535
BR;Brasil;Ambos;2011;30-34;30435
BR;Brasil;Ambos;2011;35-39;32379
BR;Brasil;Ambos;2011;40-44;41023
BR;Brasil;Ambos;2011;45-49;53532
BR;Brasil;Ambos;2011;50-54;66831
BR;Brasil;Ambos;2011;55-59;78422
BR;Brasil;Ambos;2011;60-64;89327
BR;Brasil;Ambos;2011;65-69;97804
BR;Brasil;Ambos;2011;70-74;113754
BR;Brasil;Ambos;2011;75-79;121932
BR;Brasil;Ambos;2011;80+;309423
BR;Brasil;Ambos;2012;<1;39123
BR;Brasil;Ambos;2012;1-4;6342
BR;Brasil;Ambos;2012;5-9;3952
BR;Brasil;Ambos;2012;10-14;5710
BR;Brasil;Ambos;2012;15-19;21269
BR;Brasil;Ambos;2012;20-24;28079
BR;Brasil;Ambos;2012;25-29;28457
BR;Brasil;Ambos;2012;30-34;31258
BR;Brasil;Ambos;2012;35-39;33282
BR;Brasil;Ambos;2012;40-44;40571
BR;Brasil;Ambos;2012;45-49;52971
BR;Brasil;Ambos;2012;50-54;66096
BR;Brasil;Ambos;2012;55-59;79286
BR;Brasil;Ambos;2012;60-64;90246
BR;Brasil;Ambos;2012;65-69;99897
BR;Brasil;Ambos;2012;70-74;113106
BR;Brasil;Ambos;2012;75-79;123066
BR;Brasil;Ambos;2012;80+;314689
BR;Brasil;Ambos;2013;<1;38966
BR;Brasil;Ambos;2013;1-4;6337
BR;Brasil;Ambos;2013;5-9;3723
BR;Brasil;Ambos;2013;10-14;5425
BR;Brasil;Ambos;2013;15-19;21442
BR;Brasil;Ambos;2013;20-24;27091
BR;Brasil;Ambos;2013;25-29;28014
BR;Brasil;Ambos;2013;30-34;30843
BR;Brasil;Ambos;2013;35-39;33552
BR;Brasil;Ambos;2013;40-44;40245
BR;Brasil;Ambos;2013;45-49;53298
BR;Brasil;Ambos;2013;50-54;67170
BR;Brasil;Ambos;2013;55-59;82112
BR;Brasil;Ambos;2013;60-64;92796
BR;Brasil;Ambos;2013;65-69;102964
BR;Brasil;Ambos;2013;70-74;116208
BR;Brasil;Ambos;2013;75-79;126865
BR;Brasil;Ambos;2013;80+;329582
BR;Brasil;Ambos;2014;<1;38432
BR;Brasil;Ambos;2014;1-4;6105
BR;Brasil;Ambos;2014;5-9;3629
BR;Brasil;Ambos;2014;10-14;5325
BR;Brasil;Ambos;2014;15-19;22120
BR;Brasil;Ambos;2014;20-24;28030
BR;Brasil;Ambos;2014;25-29;28142
BR;Brasil;Ambos;2014;30-34;31181
BR;Brasil;Ambos;2014;35-39;33841
BR;Brasil;Ambos;2014;40-44;39474
BR;Brasil;Ambos;2014;45-49;51743
BR;Brasil;Ambos;2014;50-54;66838
BR;Brasil;Ambos;2014;55-59;82388
BR;Brasil;Ambos;2014;60-64;95012
BR;Brasil;Ambos;2014;65-69;104912
BR;Brasil;Ambos;2014;70-74;116800
BR;Brasil;Ambos;2014;75-79;130002
BR;Brasil;Ambos;2014;80+;339456
BR;Brasil;Ambos;2015;<1;37501
BR;Brasil;Ambos;2015;1-4;5595
BR;Brasil;Ambos;2015;5-9;3266
BR;Brasil;Ambos;2015;10-14;4893
BR;Brasil;Ambos;2015;15-19;21356
BR;Brasil;Ambos;2015;20-24;27280
BR;Brasil;Ambos;2015;25-29;27056
BR;Brasil;Ambos;2015;30-34;30078
BR;Brasil;Ambos;2015;35-39;34112
BR;Brasil;Ambos;2015;40-44;39546
BR;Brasil;Ambos;2015;45-49;51447
BR;Brasil;Ambos;2015;50-54;68319
BR;Brasil;Ambos;2015;55-59;84012
BR;Brasil;Ambos;2015;60-64;98593
BR;Brasil;Ambos;2015;65-69;111027
BR;Brasil;Ambos;2015;70-74;119709
BR;Brasil;Ambos;2015;75-79;136471
BR;Brasil;Ambos;2015;80+;360634
BR;Brasil;Ambos;2016;<1;36350
BR;Brasil;Ambos;2016;1-4;6212
BR;Brasil;Ambos;2016;5-9;3297
BR;Brasil;Ambos;2016;10-14;4877
BR;Brasil;Ambos;2016;15-19;21788
BR;Brasil;Ambos;2016;20-24;28319
BR;Brasil;Ambos;2016;25-29;27324
BR;Brasil;Ambos;2016;30-34;30098
BR;Brasil;Ambos;2016;35-39;34766
