Território;Nome do território;Sexo;Ano;Meio de agressão;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
BR;Brasil;Ambos;2000;Arma de fogo;30865;17.67;16.74
BR;Brasil;Ambos;2000;Arma branca ou objeto contundente;7637;4.37;4.5
BR;Brasil;Ambos;2000;Estrangulamento;461;0.26;0.26
BR;Brasil;Ambos;2000;Força corporal;235;0.13;0.14
BR;Brasil;Ambos;2000;Demais meios especificados;781;0.45;0.43
BR;Brasil;Ambos;2000;Meios não especificados;5381;3.08;3.03
BR;Brasil;Ambos;2001;Arma de fogo;33401;18.87;17.74
BR;Brasil;Ambos;2001;Arma branca ou objeto contundente;8231;4.65;4.78
BR;Brasil;Ambos;2001;Estrangulamento;552;0.31;0.31
BR;Brasil;Ambos;2001;Força corporal;313;0.18;0.19
BR;Brasil;Ambos;2001;Demais meios especificados;697;0.39;0.37
BR;Brasil;Ambos;2001;Meios não especificados;4749;2.68;2.65
BR;Brasil;Ambos;2002;Arma de fogo;34160;19.06;17.77
BR;Brasil;Ambos;2002;Arma branca ou objeto contundente;8473;4.73;4.84
BR;Brasil;Ambos;2002;Estrangulamento;595;0.33;0.32
BR;Brasil;Ambos;2002;Força corporal;315;0.18;0.19
BR;Brasil;Ambos;2002;Demais meios especificados;649;0.36;0.33
BR;Brasil;Ambos;2002;Meios não especificados;5503;3.07;2.92
BR;Brasil;Ambos;2003;Arma de fogo;36115;19.91;18.55
BR;Brasil;Ambos;2003;Arma branca ou objeto contundente;8663;4.78;4.85
BR;Brasil;Ambos;2003;Estrangulamento;621;0.34;0.34
BR;Brasil;Ambos;2003;Força corporal;384;0.21;0.23
BR;Brasil;Ambos;2003;Demais meios especificados;601;0.33;0.32
BR;Brasil;Ambos;2003;Meios não especificados;4659;2.57;2.48
BR;Brasil;Ambos;2004;Arma de fogo;34187;18.63;17.28
BR;Brasil;Ambos;2004;Arma branca ou objeto contundente;8840;4.82;4.88
BR;Brasil;Ambos;2004;Estrangulamento;656;0.36;0.35
BR;Brasil;Ambos;2004;Força corporal;424;0.23;0.25
BR;Brasil;Ambos;2004;Demais meios especificados;731;0.4;0.39
BR;Brasil;Ambos;2004;Meios não especificados;3536;1.93;1.88
BR;Brasil;Ambos;2005;Arma de fogo;33419;18.01;16.73
BR;Brasil;Ambos;2005;Arma branca ou objeto contundente;9600;5.17;5.22
BR;Brasil;Ambos;2005;Estrangulamento;654;0.35;0.35
BR;Brasil;Ambos;2005;Força corporal;468;0.25;0.27
BR;Brasil;Ambos;2005;Demais meios especificados;774;0.42;0.41
BR;Brasil;Ambos;2005;Meios não especificados;2663;1.44;1.4
BR;Brasil;Ambos;2006;Arma de fogo;34921;18.62;17.28
BR;Brasil;Ambos;2006;Arma branca ou objeto contundente;9998;5.33;5.36
BR;Brasil;Ambos;2006;Estrangulamento;631;0.34;0.34
BR;Brasil;Ambos;2006;Força corporal;566;0.3;0.32
BR;Brasil;Ambos;2006;Demais meios especificados;953;0.51;0.49
BR;Brasil;Ambos;2006;Meios não especificados;2076;1.11;1.08
BR;Brasil;Ambos;2007;Arma de fogo;34147;18.02;16.66
BR;Brasil;Ambos;2007;Arma branca ou objeto contundente;9730;5.14;5.11
BR;Brasil;Ambos;2007;Estrangulamento;643;0.34;0.33
BR;Brasil;Ambos;2007;Força corporal;478;0.25;0.26
BR;Brasil;Ambos;2007;Demais meios especificados;813;0.43;0.41
BR;Brasil;Ambos;2007;Meios não especificados;1896;1;0.96
BR;Brasil;Ambos;2008;Arma de fogo;35676;18.65;17.18
BR;Brasil;Ambos;2008;Arma branca ou objeto contundente;10571;5.52;5.48
BR;Brasil;Ambos;2008;Estrangulamento;685;0.36;0.34
BR;Brasil;Ambos;2008;Força corporal;595;0.31;0.32
BR;Brasil;Ambos;2008;Demais meios especificados;809;0.42;0.42
BR;Brasil;Ambos;2008;Meios não especificados;1777;0.93;0.87
BR;Brasil;Ambos;2009;Arma de fogo;36624;18.96;17.52
BR;Brasil;Ambos;2009;Arma branca ou objeto contundente;10844;5.61;5.56
BR;Brasil;Ambos;2009;Estrangulamento;721;0.37;0.36
BR;Brasil;Ambos;2009;Força corporal;571;0.3;0.3
BR;Brasil;Ambos;2009;Demais meios especificados;786;0.41;0.4
BR;Brasil;Ambos;2009;Meios não especificados;1888;0.98;0.92
BR;Brasil;Ambos;2010;Arma de fogo;36792;18.89;17.46
BR;Brasil;Ambos;2010;Arma branca ou objeto contundente;11322;5.81;5.71
BR;Brasil;Ambos;2010;Estrangulamento;748;0.38;0.37
BR;Brasil;Ambos;2010;Força corporal;630;0.32;0.33
BR;Brasil;Ambos;2010;Demais meios especificados;865;0.44;0.43
BR;Brasil;Ambos;2010;Meios não especificados;1903;0.98;0.94
BR;Brasil;Ambos;2011;Arma de fogo;36737;18.73;17.41
BR;Brasil;Ambos;2011;Arma branca ou objeto contundente;11466;5.85;5.73
BR;Brasil;Ambos;2011;Estrangulamento;746;0.38;0.36
BR;Brasil;Ambos;2011;Força corporal;555;0.28;0.29
BR;Brasil;Ambos;2011;Demais meios especificados;893;0.46;0.44
BR;Brasil;Ambos;2011;Meios não especificados;1801;0.92;0.88
BR;Brasil;Ambos;2012;Arma de fogo;40077;20.27;18.85
BR;Brasil;Ambos;2012;Arma branca ou objeto contundente;12052;6.1;5.94
BR;Brasil;Ambos;2012;Estrangulamento;841;0.43;0.4
BR;Brasil;Ambos;2012;Força corporal;643;0.33;0.33
BR;Brasil;Ambos;2012;Demais meios especificados;912;0.46;0.44
BR;Brasil;Ambos;2012;Meios não especificados;1812;0.92;0.85
BR;Brasil;Ambos;2013;Arma de fogo;40369;20.26;18.9
BR;Brasil;Ambos;2013;Arma branca ou objeto contundente;11988;6.02;5.85
BR;Brasil;Ambos;2013;Estrangulamento;871;0.44;0.41
BR;Brasil;Ambos;2013;Força corporal;673;0.34;0.34
BR;Brasil;Ambos;2013;Demais meios especificados;974;0.49;0.45
BR;Brasil;Ambos;2013;Meios não especificados;1929;0.97;0.9
BR;Brasil;Ambos;2014;Arma de fogo;42755;21.29;19.94
BR;Brasil;Ambos;2014;Arma branca ou objeto contundente;12102;6.03;5.88
BR;Brasil;Ambos;2014;Estrangulamento;833;0.41;0.4
BR;Brasil;Ambos;2014;Força corporal;749;0.37;0.37
BR;Brasil;Ambos;2014;Demais meios especificados;910;0.45;0.41
BR;Brasil;Ambos;2014;Meios não especificados;2332;1.16;1.08
BR;Brasil;Ambos;2015;Arma de fogo;41817;20.66;19.52
BR;Brasil;Ambos;2015;Arma branca ou objeto contundente;11620;5.74;5.62
BR;Brasil;Ambos;2015;Estrangulamento;842;0.42;0.4
BR;Brasil;Ambos;2015;Força corporal;826;0.41;0.41
BR;Brasil;Ambos;2015;Demais meios especificados;795;0.39;0.38
BR;Brasil;Ambos;2015;Meios não especificados;2238;1.11;1.02
BR;Brasil;Ambos;2016;Arma de fogo;44475;21.82;20.73
BR;Brasil;Ambos;2016;Arma branca ou objeto contundente;11993;5.88;5.75
BR;Brasil;Ambos;2016;Estrangulamento;812;0.4;0.39
BR;Brasil;Ambos;2016;Força corporal;991;0.49;0.48
