Território;Nome do território;Sexo;Ano;Grupo de causa;Óbitos;Taxa padronizada (por 100 mil hab.)
BR;Brasil;Ambos;2000;Aparelho circulatório;260156;245.5
BR;Brasil;Ambos;2000;Neoplasias;120415;109.51
BR;Brasil;Ambos;2000;Aparelho respiratório;88102;78.99
BR;Brasil;Ambos;2000;Causas externas;116240;72.23
BR;Brasil;Ambos;2000;Endócrinas e metabólicas;47168;43.28
BR;Brasil;Ambos;2000;Aparelho digestivo;42839;37.14
BR;Brasil;Ambos;2000;Infecciosas e parasitárias;44388;32.52
BR;Brasil;Ambos;2000;Perinatais e malformações;46406;17.05
BR;Brasil;Ambos;2000;Sinais e achados mal definidos;134915;118.62
BR;Brasil;Ambos;2000;Demais causas definidas;41691;33.9
BR;Brasil;Ambos;2001;Aparelho circulatório;262930;240.92
BR;Brasil;Ambos;2001;Neoplasias;125269;110.69
BR;Brasil;Ambos;2001;Aparelho respiratório;90051;79.1
BR;Brasil;Ambos;2001;Causas externas;118760;72.8
BR;Brasil;Ambos;2001;Endócrinas e metabólicas;47709;42.63
BR;Brasil;Ambos;2001;Aparelho digestivo;44234;37.36
BR;Brasil;Ambos;2001;Infecciosas e parasitárias;44884;32.6
BR;Brasil;Ambos;2001;Perinatais e malformações;43785;16.45
BR;Brasil;Ambos;2001;Sinais e achados mal definidos;134988;116.99
BR;Brasil;Ambos;2001;Demais causas definidas;44601;35.65
BR;Brasil;Ambos;2002;Aparelho circulatório;267066;237.81
BR;Brasil;Ambos;2002;Neoplasias;129832;111.47
BR;Brasil;Ambos;2002;Aparelho respiratório;94471;81.26
BR;Brasil;Ambos;2002;Causas externas;124000;74.28
BR;Brasil;Ambos;2002;Endócrinas e metabólicas;49110;42.85
BR;Brasil;Ambos;2002;Aparelho digestivo;45635;37.55
BR;Brasil;Ambos;2002;Infecciosas e parasitárias;45023;32.26
BR;Brasil;Ambos;2002;Perinatais e malformações;42861;16.44
BR;Brasil;Ambos;2002;Sinais e achados mal definidos;133386;112.85
BR;Brasil;Ambos;2002;Demais causas definidas;46747;36.77
BR;Brasil;Ambos;2003;Aparelho circulatório;273663;236.34
BR;Brasil;Ambos;2003;Neoplasias;134604;112.31
BR;Brasil;Ambos;2003;Aparelho respiratório;97406;81.55
BR;Brasil;Ambos;2003;Causas externas;124376;73.43
BR;Brasil;Ambos;2003;Endócrinas e metabólicas;51084;43.27
BR;Brasil;Ambos;2003;Aparelho digestivo;46739;37.54
BR;Brasil;Ambos;2003;Infecciosas e parasitárias;46372;32.88
BR;Brasil;Ambos;2003;Perinatais e malformações;42169;16.47
BR;Brasil;Ambos;2003;Sinais e achados mal definidos;132571;109.2
BR;Brasil;Ambos;2003;Demais causas definidas;48924;37.7
BR;Brasil;Ambos;2004;Aparelho circulatório;285146;238.74
BR;Brasil;Ambos;2004;Neoplasias;140730;114.07
BR;Brasil;Ambos;2004;Aparelho respiratório;101906;83.27
BR;Brasil;Ambos;2004;Causas externas;125480;73.18
BR;Brasil;Ambos;2004;Endócrinas e metabólicas;53045;43.76
BR;Brasil;Ambos;2004;Aparelho digestivo;48488;37.92
BR;Brasil;Ambos;2004;Infecciosas e parasitárias;45947;32.14
BR;Brasil;Ambos;2004;Perinatais e malformações;41212;16.35
BR;Brasil;Ambos;2004;Sinais e achados mal definidos;126269;101.21
BR;Brasil;Ambos;2004;Demais causas definidas;51997;39.24
BR;Brasil;Ambos;2005;Aparelho circulatório;283565;230.03
BR;Brasil;Ambos;2005;Neoplasias;147350;115.9
BR;Brasil;Ambos;2005;Aparelho respiratório;97213;76.99
BR;Brasil;Ambos;2005;Causas externas;125831;72.36
BR;Brasil;Ambos;2005;Endócrinas e metabólicas;53910;43.23
BR;Brasil;Ambos;2005;Aparelho digestivo;49974;38
BR;Brasil;Ambos;2005;Infecciosas e parasitárias;46502;31.92
BR;Brasil;Ambos;2005;Perinatais e malformações;39703;15.92
BR;Brasil;Ambos;2005;Sinais e achados mal definidos;103829;80.62
BR;Brasil;Ambos;2005;Demais causas definidas;55473;41
BR;Brasil;Ambos;2006;Aparelho circulatório;302488;237.63
BR;Brasil;Ambos;2006;Neoplasias;155729;118.96
BR;Brasil;Ambos;2006;Aparelho respiratório;102649;78.98
BR;Brasil;Ambos;2006;Causas externas;126403;71.46
BR;Brasil;Ambos;2006;COVID-19;1;0
BR;Brasil;Ambos;2006;Endócrinas e metabólicas;58821;45.86
BR;Brasil;Ambos;2006;Aparelho digestivo;51784;38.29
BR;Brasil;Ambos;2006;Infecciosas e parasitárias;46400;31.28
BR;Brasil;Ambos;2006;Perinatais e malformações;38645;15.71
BR;Brasil;Ambos;2006;Sinais e achados mal definidos;84851;63.54
BR;Brasil;Ambos;2006;Demais causas definidas;60119;43.2
BR;Brasil;Ambos;2007;Aparelho circulatório;308095;234.3
BR;Brasil;Ambos;2007;Neoplasias;161430;119.62
BR;Brasil;Ambos;2007;Aparelho respiratório;104304;78.06
BR;Brasil;Ambos;2007;Causas externas;129042;71.84
BR;Brasil;Ambos;2007;Endócrinas e metabólicas;61798;46.68
BR;Brasil;Ambos;2007;Aparelho digestivo;53565;38.44
BR;Brasil;Ambos;2007;Infecciosas e parasitárias;45822;30.27
BR;Brasil;Ambos;2007;Perinatais e malformações;37143;15.48
BR;Brasil;Ambos;2007;Sinais e achados mal definidos;79573;57.76
BR;Brasil;Ambos;2007;Demais causas definidas;63297;44.45
BR;Brasil;Ambos;2008;Aparelho circulatório;317443;233.63
BR;Brasil;Ambos;2008;Neoplasias;167627;120.53
BR;Brasil;Ambos;2008;Aparelho respiratório;104774;75.99
BR;Brasil;Ambos;2008;Causas externas;133675;73.45
BR;Brasil;Ambos;2008;Endócrinas e metabólicas;64540;47.33
BR;Brasil;Ambos;2008;Aparelho digestivo;55130;38.45
BR;Brasil;Ambos;2008;Infecciosas e parasitárias;47170;30.52
BR;Brasil;Ambos;2008;Perinatais e malformações;36573;15.36
BR;Brasil;Ambos;2008;Sinais e achados mal definidos;78481;55.13
