Território;Nome do território;Sexo;Ano;Subgrupo detalhado;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
BR;Brasil;Ambos;2000;Órgãos digestivos;37963;21.73;35.54
BR;Brasil;Ambos;2000;"Pulmão, traqueia e brônquios";14717;8.42;13.91
BR;Brasil;Ambos;2000;Mama feminina;8393;4.8;7.43
BR;Brasil;Ambos;2000;Próstata;7490;4.29;7.41
BR;Brasil;Ambos;2000;Colo de útero;3955;2.26;3.38
BR;Brasil;Ambos;2000;Demais localizações;46573;26.66;40.62
BR;Brasil;Ambos;2000;Isquêmicas do coração;78456;44.91;74.17
BR;Brasil;Ambos;2000;Cerebrovasculares;84713;48.49;80.02
BR;Brasil;Ambos;2000;Demais cardiovasculares;97434;55.77;91.31
BR;Brasil;Ambos;2000;Vias aéreas superiores;185;0.106;0.138
BR;Brasil;Ambos;2000;Crônicas das vias aéreas inferiores;33713;19.298;32.577
BR;Brasil;Ambos;2000;Pulmonares por agentes externos;1846;1.057;1.551
BR;Brasil;Ambos;2000;Interstício pulmonar;4928;2.821;4.232
BR;Brasil;Ambos;2000;Necróticas e supurativas;658;0.377;0.538
BR;Brasil;Ambos;2000;Pleura;787;0.45;0.654
BR;Brasil;Ambos;2000;Outras do aparelho respiratório;15875;9.087;14.069
BR;Brasil;Ambos;2001;Órgãos digestivos;39071;22.07;35.51
BR;Brasil;Ambos;2001;"Pulmão, traqueia e brônquios";15197;8.59;13.95
BR;Brasil;Ambos;2001;Mama feminina;8743;4.94;7.53
BR;Brasil;Ambos;2001;Próstata;8033;4.54;7.71
BR;Brasil;Ambos;2001;Colo de útero;4218;2.38;3.5
BR;Brasil;Ambos;2001;Demais localizações;48597;27.46;41.24
BR;Brasil;Ambos;2001;Isquêmicas do coração;79428;44.87;72.9
BR;Brasil;Ambos;2001;Cerebrovasculares;86472;48.85;79.36
BR;Brasil;Ambos;2001;Demais cardiovasculares;97517;55.09;88.67
BR;Brasil;Ambos;2001;Vias aéreas superiores;184;0.104;0.129
BR;Brasil;Ambos;2001;Crônicas das vias aéreas inferiores;33836;19.116;31.751
BR;Brasil;Ambos;2001;Pulmonares por agentes externos;2036;1.15;1.667
BR;Brasil;Ambos;2001;Interstício pulmonar;5112;2.888;4.286
BR;Brasil;Ambos;2001;Necróticas e supurativas;667;0.377;0.543
BR;Brasil;Ambos;2001;Pleura;800;0.452;0.667
BR;Brasil;Ambos;2001;Outras do aparelho respiratório;16549;9.35;14.349
