Território;Nome do território;Sexo;Ano;Tipo de causa externa;Óbitos;Taxa bruta (por 100 mil hab.);Taxa padronizada (por 100 mil hab.)
BR;Brasil;Ambos;2000;Lesão de trânsito;28995;16.6;18.47
BR;Brasil;Ambos;2000;Agressão;45360;25.97;25.1
BR;Brasil;Ambos;2000;Causas acidentais;23185;13.27;15
BR;Brasil;Ambos;2000;Lesão autoprovocada;6780;4.31;4.92
BR;Brasil;Ambos;2000;Demais causas externas;14077;8.06;9.06
BR;Brasil;Ambos;2001;Lesão de trânsito;30524;17.24;19.1
BR;Brasil;Ambos;2001;Agressão;47943;27.09;26.05
BR;Brasil;Ambos;2001;Causas acidentais;21049;11.89;13.56
BR;Brasil;Ambos;2001;Lesão autoprovocada;7738;4.84;5.42
BR;Brasil;Ambos;2001;Demais causas externas;13700;7.74;9.02
BR;Brasil;Ambos;2002;Lesão de trânsito;32753;18.27;19.99
BR;Brasil;Ambos;2002;Agressão;49695;27.73;26.38
BR;Brasil;Ambos;2002;Causas acidentais;21481;11.99;13.4
BR;Brasil;Ambos;2002;Lesão autoprovocada;7725;4.76;5.28
BR;Brasil;Ambos;2002;Demais causas externas;14895;8.31;9.57
BR;Brasil;Ambos;2003;Lesão de trânsito;33139;18.27;19.87
BR;Brasil;Ambos;2003;Agressão;51043;28.14;26.78
BR;Brasil;Ambos;2003;Causas acidentais;20998;11.58;13.17
BR;Brasil;Ambos;2003;Lesão autoprovocada;7861;4.77;5.26
BR;Brasil;Ambos;2003;Demais causas externas;13616;7.51;8.7
BR;Brasil;Ambos;2004;Lesão de trânsito;35105;19.13;20.77
BR;Brasil;Ambos;2004;Agressão;48374;26.37;25.04
BR;Brasil;Ambos;2004;Causas acidentais;21796;11.88;13.54
BR;Brasil;Ambos;2004;Lesão autoprovocada;8014;4.8;5.26
BR;Brasil;Ambos;2004;Demais causas externas;14178;7.73;8.91
BR;Brasil;Ambos;2005;Lesão de trânsito;35994;19.4;20.87
BR;Brasil;Ambos;2005;Agressão;47578;25.65;24.39
BR;Brasil;Ambos;2005;Causas acidentais;21598;11.64;13.27
BR;Brasil;Ambos;2005;Lesão autoprovocada;8548;5.04;5.56
BR;Brasil;Ambos;2005;Demais causas externas;13913;7.5;8.64
BR;Brasil;Ambos;2006;Lesão de trânsito;36367;19.39;20.73
BR;Brasil;Ambos;2006;Agressão;49145;26.21;24.86
BR;Brasil;Ambos;2006;Causas acidentais;22480;11.99;13.76
BR;Brasil;Ambos;2006;Lesão autoprovocada;8639;5.03;5.46
BR;Brasil;Ambos;2006;Demais causas externas;11757;6.27;7.01
BR;Brasil;Ambos;2007;Lesão de trânsito;37407;19.74;20.86
BR;Brasil;Ambos;2007;Agressão;47707;25.18;23.74
BR;Brasil;Ambos;2007;Causas acidentais;22839;12.05;13.86
BR;Brasil;Ambos;2007;Lesão autoprovocada;8868;5.1;5.52
BR;Brasil;Ambos;2007;Demais causas externas;14211;7.5;8.23
BR;Brasil;Ambos;2008;Lesão de trânsito;38273;20;21.1
BR;Brasil;Ambos;2008;Agressão;50113;26.19;24.61
BR;Brasil;Ambos;2008;Causas acidentais;23253;12.15;13.96
BR;Brasil;Ambos;2008;Lesão autoprovocada;9328;5.3;5.68
BR;Brasil;Ambos;2008;Demais causas externas;14969;7.82;8.47
BR;Brasil;Ambos;2009;Lesão de trânsito;37594;19.46;20.37
BR;Brasil;Ambos;2009;Agressão;51434;26.63;25.06
BR;Brasil;Ambos;2009;Causas acidentais;23937;12.39;14.08
BR;Brasil;Ambos;2009;Lesão autoprovocada;9374;5.27;5.61
BR;Brasil;Ambos;2009;Demais causas externas;16358;8.47;9.15
BR;Brasil;Ambos;2010;Lesão de trânsito;42844;22;22.94
BR;Brasil;Ambos;2010;Agressão;52260;26.83;25.24
BR;Brasil;Ambos;2010;Causas acidentais;25624;13.16;15.01
BR;Brasil;Ambos;2010;Lesão autoprovocada;9448;5.25;5.55
BR;Brasil;Ambos;2010;Demais causas externas;13080;6.72;7.3
BR;Brasil;Ambos;2011;Lesão de trânsito;43256;22.05;22.8
BR;Brasil;Ambos;2011;Agressão;52198;26.61;25.11
BR;Brasil;Ambos;2011;Causas acidentais;26828;13.68;15.31
BR;Brasil;Ambos;2011;Lesão autoprovocada;9852;5.43;5.69
BR;Brasil;Ambos;2011;Demais causas externas;13708;6.99;7.6
BR;Brasil;Ambos;2012;Lesão de trânsito;44812;22.67;23.33
BR;Brasil;Ambos;2012;Agressão;56337;28.5;26.81
BR;Brasil;Ambos;2012;Causas acidentais;26939;13.63;15.24
BR;Brasil;Ambos;2012;Lesão autoprovocada;10321;5.64;5.9
BR;Brasil;Ambos;2012;Demais causas externas;13604;6.88;7.36
BR;Brasil;Ambos;2013;Lesão de trânsito;42266;21.22;21.79
BR;Brasil;Ambos;2013;Agressão;56804;28.51;26.85
BR;Brasil;Ambos;2013;Causas acidentais;28752;14.43;15.96
BR;Brasil;Ambos;2013;Lesão autoprovocada;10533;5.7;5.93
BR;Brasil;Ambos;2013;Demais causas externas;13328;6.69;7.12
BR;Brasil;Ambos;2014;Lesão de trânsito;43780;21.8;22.25
BR;Brasil;Ambos;2014;Agressão;59681;29.72;28.09
BR;Brasil;Ambos;2014;Causas acidentais;29617;14.75;16.21
BR;Brasil;Ambos;2014;Lesão autoprovocada;10653;5.72;5.89
BR;Brasil;Ambos;2014;Demais causas externas;13211;6.58;6.89
BR;Brasil;Ambos;2015;Lesão de trânsito;38651;19.1;19.44
BR;Brasil;Ambos;2015;Agressão;58138;28.72;27.35
BR;Brasil;Ambos;2015;Causas acidentais;30456;15.05;16.37
BR;Brasil;Ambos;2015;Lesão autoprovocada;11178;5.95;6.13
BR;Brasil;Ambos;2015;Demais causas externas;13713;6.78;7.06
BR;Brasil;Ambos;2016;Lesão de trânsito;37345;18.32;18.59
BR;Brasil;Ambos;2016;Agressão;61143;29.99;28.63
BR;Brasil;Ambos;2016;Causas acidentais;31217;15.31;16.51
BR;Brasil;Ambos;2016;Lesão autoprovocada;11431;6.04;6.17
BR;Brasil;Ambos;2016;Demais causas externas;14723;7.22;7.44
BR;Brasil;Ambos;2017;Lesão de trânsito;35375;17.24;17.41
BR;Brasil;Ambos;2017;Agressão;63748;31.06;29.75
BR;Brasil;Ambos;2017;Causas acidentais;32105;15.64;16.67
BR;Brasil;Ambos;2017;Lesão autoprovocada;12495;6.56;6.66
BR;Brasil;Ambos;2017;Demais causas externas;14934;7.28;7.46
BR;Brasil;Ambos;2018;Lesão de trânsito;32655;15.81;15.93
BR;Brasil;Ambos;2018;Agressão;55914;27.07;26.09
BR;Brasil;Ambos;2018;Causas acidentais;31874;15.43;16.18
BR;Brasil;Ambos;2018;Lesão autoprovocada;12733;6.64;6.7
BR;Brasil;Ambos;2018;Demais causas externas;17638;8.54;8.64
BR;Brasil;Ambos;2019;Lesão de trânsito;31945;15.37;15.42
BR;Brasil;Ambos;2019;Agressão;44033;21.18;20.59
BR;Brasil;Ambos;2019;Causas acidentais;31865;15.33;15.85
BR;Brasil;Ambos;2019;Lesão autoprovocada;13520;6.99;7.03
BR;Brasil;Ambos;2019;Demais causas externas;21437;10.31;10.34
BR;Brasil;Ambos;2020;Lesão de trânsito;32716;15.64;15.65
BR;Brasil;Ambos;2020;Agressão;47680;22.8;22.25
BR;Brasil;Ambos;2020;Causas acidentais;32415;15.5;15.77
BR;Brasil;Ambos;2020;Lesão autoprovocada;13835;7.1;7.13
BR;Brasil;Ambos;2020;Demais causas externas;19392;9.27;9.22
BR;Brasil;Ambos;2021;Lesão de trânsito;33813;16.09;16.07
BR;Brasil;Ambos;2021;Agressão;45562;21.69;21.32
BR;Brasil;Ambos;2021;Causas acidentais;34614;16.47;16.59
BR;Brasil;Ambos;2021;Lesão autoprovocada;15499;7.91;7.91
BR;Brasil;Ambos;2021;Demais causas externas;19834;9.44;9.34
BR;Brasil;Ambos;2022;Lesão de trânsito;33894;16.07;15.99
BR;Brasil;Ambos;2022;Agressão;44367;21.04;20.78
BR;Brasil;Ambos;2022;Causas acidentais;36823;17.46;17.39
BR;Brasil;Ambos;2022;Lesão autoprovocada;16462;8.35;8.34
BR;Brasil;Ambos;2022;Demais causas externas;21399;10.15;9.98
