Território;Nome do território;Sexo;Ano;Faixa etária;População
BR;Brasil;Ambos;2000;<1;3423475
BR;Brasil;Ambos;2000;1-4;13858072
BR;Brasil;Ambos;2000;5-9;17378990
BR;Brasil;Ambos;2000;10-14;17599378
BR;Brasil;Ambos;2000;15-19;17831344
BR;Brasil;Ambos;2000;20-24;16402228
BR;Brasil;Ambos;2000;25-29;14351864
BR;Brasil;Ambos;2000;30-34;13422239
BR;Brasil;Ambos;2000;35-39;12466693
BR;Brasil;Ambos;2000;40-44;10836458
BR;Brasil;Ambos;2000;45-49;9013717
BR;Brasil;Ambos;2000;50-54;7227689
BR;Brasil;Ambos;2000;55-59;5653867
BR;Brasil;Ambos;2000;60-64;4702598
BR;Brasil;Ambos;2000;65-69;3678357
BR;Brasil;Ambos;2000;70-74;2861050
BR;Brasil;Ambos;2000;75-79;1955661
BR;Brasil;Ambos;2000;80+;2032255
BR;Brasil;Ambos;2001;<1;3347313
BR;Brasil;Ambos;2001;1-4;13776369
BR;Brasil;Ambos;2001;5-9;17390172
BR;Brasil;Ambos;2001;10-14;17471598
BR;Brasil;Ambos;2001;15-19;17866394
BR;Brasil;Ambos;2001;20-24;16826765
BR;Brasil;Ambos;2001;25-29;14615238
BR;Brasil;Ambos;2001;30-34;13530676
BR;Brasil;Ambos;2001;35-39;12688799
BR;Brasil;Ambos;2001;40-44;11142331
BR;Brasil;Ambos;2001;45-49;9330172
BR;Brasil;Ambos;2001;50-54;7518204
BR;Brasil;Ambos;2001;55-59;5851451
BR;Brasil;Ambos;2001;60-64;4806742
BR;Brasil;Ambos;2001;65-69;3780931
BR;Brasil;Ambos;2001;70-74;2921197
BR;Brasil;Ambos;2001;75-79;2041751
BR;Brasil;Ambos;2001;80+;2097640
BR;Brasil;Ambos;2002;<1;3274356
BR;Brasil;Ambos;2002;1-4;13632137
BR;Brasil;Ambos;2002;5-9;17379924
BR;Brasil;Ambos;2002;10-14;17382310
BR;Brasil;Ambos;2002;15-19;17852790
BR;Brasil;Ambos;2002;20-24;17170628
BR;Brasil;Ambos;2002;25-29;14939841
BR;Brasil;Ambos;2002;30-34;13661547
BR;Brasil;Ambos;2002;35-39;12872622
BR;Brasil;Ambos;2002;40-44;11441951
BR;Brasil;Ambos;2002;45-49;9647563
BR;Brasil;Ambos;2002;50-54;7812619
BR;Brasil;Ambos;2002;55-59;6084116
BR;Brasil;Ambos;2002;60-64;4903198
BR;Brasil;Ambos;2002;65-69;3897847
BR;Brasil;Ambos;2002;70-74;2979356
BR;Brasil;Ambos;2002;75-79;2122355
BR;Brasil;Ambos;2002;80+;2173094
BR;Brasil;Ambos;2003;<1;3212295
BR;Brasil;Ambos;2003;1-4;13427961
BR;Brasil;Ambos;2003;5-9;17349975
BR;Brasil;Ambos;2003;10-14;17339680
BR;Brasil;Ambos;2003;15-19;17786266
BR;Brasil;Ambos;2003;20-24;17423254
BR;Brasil;Ambos;2003;25-29;15333558
BR;Brasil;Ambos;2003;30-34;13814692
BR;Brasil;Ambos;2003;35-39;13023806
BR;Brasil;Ambos;2003;40-44;11728336
BR;Brasil;Ambos;2003;45-49;9964049
BR;Brasil;Ambos;2003;50-54;8110948
BR;Brasil;Ambos;2003;55-59;6343976
BR;Brasil;Ambos;2003;60-64;5003998
BR;Brasil;Ambos;2003;65-69;4021700
BR;Brasil;Ambos;2003;70-74;3040807
BR;Brasil;Ambos;2003;75-79;2195538
BR;Brasil;Ambos;2003;80+;2256815
BR;Brasil;Ambos;2004;<1;3163041
BR;Brasil;Ambos;2004;1-4;13180243
BR;Brasil;Ambos;2004;5-9;17303761
BR;Brasil;Ambos;2004;10-14;17333773
BR;Brasil;Ambos;2004;15-19;17669276
BR;Brasil;Ambos;2004;20-24;17594842
BR;Brasil;Ambos;2004;25-29;15782721
BR;Brasil;Ambos;2004;30-34;13989822
BR;Brasil;Ambos;2004;35-39;13144701
BR;Brasil;Ambos;2004;40-44;12004000
BR;Brasil;Ambos;2004;45-49;10278114
BR;Brasil;Ambos;2004;50-54;8414340
BR;Brasil;Ambos;2004;55-59;6619629
BR;Brasil;Ambos;2004;60-64;5126643
BR;Brasil;Ambos;2004;65-69;4143211
BR;Brasil;Ambos;2004;70-74;3111534
BR;Brasil;Ambos;2004;75-79;2261401
BR;Brasil;Ambos;2004;80+;2348541
BR;Brasil;Ambos;2005;<1;3123546
BR;Brasil;Ambos;2005;1-4;12927559
BR;Brasil;Ambos;2005;5-9;17217876
BR;Brasil;Ambos;2005;10-14;17348818
BR;Brasil;Ambos;2005;15-19;17529669
BR;Brasil;Ambos;2005;20-24;17692430
BR;Brasil;Ambos;2005;25-29;16246883
BR;Brasil;Ambos;2005;30-34;14201339
BR;Brasil;Ambos;2005;35-39;13250847
BR;Brasil;Ambos;2005;40-44;12260309
BR;Brasil;Ambos;2005;45-49;10587977
BR;Brasil;Ambos;2005;50-54;8723481
BR;Brasil;Ambos;2005;55-59;6901895
BR;Brasil;Ambos;2005;60-64;5283875
BR;Brasil;Ambos;2005;65-69;4257110
BR;Brasil;Ambos;2005;70-74;3195545
BR;Brasil;Ambos;2005;75-79;2321382
BR;Brasil;Ambos;2005;80+;2447828
BR;Brasil;Ambos;2006;<1;3095244
BR;Brasil;Ambos;2006;1-4;12710929
BR;Brasil;Ambos;2006;5-9;17064624
BR;Brasil;Ambos;2006;10-14;17360770
BR;Brasil;Ambos;2006;15-19;17403541
BR;Brasil;Ambos;2006;20-24;17729519
BR;Brasil;Ambos;2006;25-29;16671171
BR;Brasil;Ambos;2006;30-34;14465858
BR;Brasil;Ambos;2006;35-39;13363086
BR;Brasil;Ambos;2006;40-44;12484840
BR;Brasil;Ambos;2006;45-49;10894183
BR;Brasil;Ambos;2006;50-54;9036868
BR;Brasil;Ambos;2006;55-59;7187404
BR;Brasil;Ambos;2006;60-64;5480085
